Time,HeartRate,steps,force
2024-10-15 00:00:00,89,0,0
2024-10-15 00:01:00,82,0,0
2024-10-15 00:02:00,85,0,0
2024-10-15 00:03:00,91,0,0
2024-10-15 00:04:00,89,0,0
2024-10-15 00:05:00,75,0,0
2024-10-15 00:06:00,85,0,0
2024-10-15 00:07:00,79,0,0
2024-10-15 00:08:00,79,0,0
2024-10-15 00:09:00,82,0,0
2024-10-15 00:10:00,81,0,0
2024-10-15 00:11:00,87,0,0
2024-10-15 00:12:00,84,0,0
2024-10-15 00:13:00,81,0,0
2024-10-15 00:14:00,82,0,0
2024-10-15 00:15:00,82,0,0
2024-10-15 00:16:00,87,0,0
2024-10-15 00:17:00,79,0,0
2024-10-15 00:18:00,82,0,0
2024-10-15 00:19:00,76,0,0
2024-10-15 00:20:00,67,0,0
2024-10-15 00:21:00,83,0,0
2024-10-15 00:22:00,84,0,0
2024-10-15 00:23:00,76,0,0
2024-10-15 00:24:00,91,0,0
2024-10-15 00:25:00,73,0,0
2024-10-15 00:26:00,80,0,0
2024-10-15 00:27:00,79,0,0
2024-10-15 00:28:00,88,0,0
2024-10-15 00:29:00,87,0,0
2024-10-15 00:30:00,81,0,0
2024-10-15 00:31:00,82,0,0
2024-10-15 00:32:00,76,0,0
2024-10-15 00:33:00,70,0,0
2024-10-15 00:34:00,78,0,0
2024-10-15 00:35:00,81,0,0
2024-10-15 00:36:00,86,0,0
2024-10-15 00:37:00,86,0,0
2024-10-15 00:38:00,78,0,0
2024-10-15 00:39:00,78,0,0
2024-10-15 00:40:00,75,0,0
2024-10-15 00:41:00,73,0,0
2024-10-15 00:42:00,71,0,0
2024-10-15 00:43:00,90,0,0
2024-10-15 00:44:00,77,0,0
2024-10-15 00:45:00,78,0,0
2024-10-15 00:46:00,74,0,0
2024-10-15 00:47:00,84,0,0
2024-10-15 00:48:00,72,0,0
2024-10-15 00:49:00,79,0,0
2024-10-15 00:50:00,76,0,0
2024-10-15 00:51:00,82,0,0
2024-10-15 00:52:00,77,0,0
2024-10-15 00:53:00,74,0,0
2024-10-15 00:54:00,80,0,0
2024-10-15 00:55:00,82,0,0
2024-10-15 00:56:00,80,0,0
2024-10-15 00:57:00,82,0,0
2024-10-15 00:58:00,77,0,0
2024-10-15 00:59:00,78,0,0
2024-10-15 01:00:00,77,0,0
2024-10-15 01:01:00,78,0,0
2024-10-15 01:02:00,76,0,0
2024-10-15 01:03:00,71,0,0
2024-10-15 01:04:00,81,0,0
2024-10-15 01:05:00,78,0,0
2024-10-15 01:06:00,72,0,0
2024-10-15 01:07:00,82,0,0
2024-10-15 01:08:00,75,0,0
2024-10-15 01:09:00,80,0,0
2024-10-15 01:10:00,84,0,0
2024-10-15 01:11:00,81,0,0
2024-10-15 01:12:00,86,0,0
2024-10-15 01:13:00,74,0,0
2024-10-15 01:14:00,82,0,0
2024-10-15 01:15:00,77,0,0
2024-10-15 01:16:00,76,0,0
2024-10-15 01:17:00,77,0,0
2024-10-15 01:18:00,78,0,0
2024-10-15 01:19:00,80,0,0
2024-10-15 01:20:00,74,0,0
2024-10-15 01:21:00,85,0,0
2024-10-15 01:22:00,82,0,0
2024-10-15 01:23:00,72,0,0
2024-10-15 01:24:00,87,0,0
2024-10-15 01:25:00,89,0,0
2024-10-15 01:26:00,86,0,0
2024-10-15 01:27:00,79,0,0
2024-10-15 01:28:00,75,0,0
2024-10-15 01:29:00,85,0,0
2024-10-15 01:30:00,78,0,0
2024-10-15 01:31:00,86,0,0
2024-10-15 01:32:00,81,0,0
2024-10-15 01:33:00,85,0,0
2024-10-15 01:34:00,82,0,0
